"cve_ent_mun","fecha","confirmados","decesos","pruebas","indice_vulnerabilidad"
"20333","30/06/2020",0,0,2,"vulnerabilidad media"
"20334","30/06/2020",19,2,52,"vulnerabilidad media"
"20335","30/06/2020",0,0,0,"vulnerabilidad media"
"20336","30/06/2020",0,0,0,"vulnerabilidad media"
"20337","30/06/2020",2,0,5,"vulnerabilidad alta"
"20338","30/06/2020",35,4,59,"vulnerabilidad muy alta"
"20339","30/06/2020",4,0,10,"vulnerabilidad baja"
"20340","30/06/2020",5,0,7,"vulnerabilidad alta"
"20341","30/06/2020",0,0,0,"vulnerabilidad baja"
"20342","30/06/2020",13,1,23,"vulnerabilidad media"
"20343","30/06/2020",3,0,3,"vulnerabilidad media"
"20344","30/06/2020",0,0,0,"vulnerabilidad media"
"20345","30/06/2020",2,0,4,"vulnerabilidad media"
